Id,Text,IsSelfMentioned,Retweets,Favorites,Hashtags,Medias,Mentions,SenderId,SenderAccountYears,SenderFavorites,SenderFollowings,SenderFollowers,SenderStatues,SenderLocation,Emojis,Punctuations,UpperCaseLetter,Letter,Symbols,Words,TWords,UWords,SlangWords,AvgWordLength,IsCyberbullying
1207301698441679872,bir adam yanında çocuklaşan kadını fazladan sevmeli çünkü bu yalnızken hep güçlü göründüm izninle huzur bulduğum yerde biraz şımarmak istiyorum deme şeklidir perşembe,0.0,0.0,7,0,0,0,1184090243072450560,0,286,651,676.0,60,,0.0,0,1,57,0,9,1,0,2,6.0,True
1207301541293629952,mağlup mu desem mahcup mu ama ikisi de değil ben garip sen güzel dünya umutlu öyle bir tuhafım bu akşamüstü sevgilim canavar götünü gibi iki yanım iki süngü ahmed arif perşembe,0.0,0.0,0,0,0,1,1207067359342710784,0,0,0,0.0,303,,0.0,0,0,42,0,6,0,0,1,7.0,True
1207301442710779904,günaydın iyi pazarlar allah acil şifalar versin inşallah daha da iyi olacak,0.0,0.0,0,0,0,2,817092980691582976,2,5889,485,555.0,1937,,0.0,2,1,26,0,4,1,0,0,6.0,True
1207301384376369920,ve ahmet arif leyla sına seslenir sevdiğim çaresizliğimden gayrı hiçbir kabahatim yok benim aşına ekmeğine kahrına karanlığına özlemine umuduna kat beni pazar hayalettimde,0.0,0.0,0,0,0,1,2976760841,4,10508,599,1009.0,738,,1.0,0,0,66,0,12,0,0,2,5.0,True
1207301363224460032,arkadaki sanal gerzek oyunun oynuyor,0.0,0.0,0,0,0,0,2544218838,5,2603,138,102.0,1079,turkey,0.0,0,1,50,0,9,1,0,0,5.0,True
1207301253484730112,ikea dolap montajında zorlanacağına eminim,0.0,0.0,0,0,0,1,1568241174,6,4624,103,71.0,623,istanbul,0.0,0,1,20,0,3,1,0,0,6.0,True
1207301094285700096,marmaris te yüksek ses ve gürültüye 637 bin lira ceza,0.0,0.0,0,0,0,2,1201558539472379904,0,11,5,0.0,104,turkey,0.0,7,5,232,0,36,5,0,0,6.0,True
1207300938169560064,mercedes in takım patronu olsaydınız lewis hamilton ın takım arkadaşı olarak kim tercih ederdiniz,0.0,0.0,1,0,0,0,1021536483835109376,1,8879,242,472.0,1629,turkey,0.0,6,3,215,0,30,3,0,0,7.0,True
1207300847123810048,bu çocuğu hala nasıl takip edebiliyorsunuz ya gösteriş budala resmenn,0.0,0.0,0,0,0,0,1183449508409155584,0,9053,208,212.0,4174,ankara,0.0,0,0,25,0,4,0,0,1,6.0,True
1207300834272399872,pudingin soğumuş pürüzsüz yüzeyini öpmek zevk alınan ufak sapık,0.0,0.0,1,0,0,1,903976230835421184,2,6747,89,158.0,7876,istanbul,0.0,0,1,18,0,3,1,0,0,6.0,True
